x1,x2,cluster
1.07833000,1.11739600,1
0.99759500,1.22345400,2
0.84791700,1.11895000,2
1.14711400,0.89931800,1
1.24272700,1.06640100,0
1.21378700,0.84629100,1
0.86414300,0.84071600,1
0.76898600,0.99063100,1
0.76805500,1.22733300,2
0.88224500,1.05795200,2
0.77956800,0.95644500,1
1.05390700,0.90630300,1
0.76101900,0.81064300,1
1.19372600,0.86285600,1
0.96795800,1.16568100,2
0.83699600,1.02782700,1
1.08918900,1.02978400,1
1.00895600,0.77928300,1
1.16898600,1.11229500,0
0.75814600,0.99816200,1
0.85232500,1.18339000,2
0.87982900,0.83404200,1
0.77720400,0.98316500,1
1.24173000,1.14915900,0
0.96213300,1.20063600,2
0.90608500,1.11063900,2
1.20134800,1.07099600,1
0.91433100,1.24907900,2
0.78552600,0.93294500,1
1.16379700,1.16538800,0
0.81157500,1.14698600,2
0.75931800,0.94716300,1
0.93147000,1.10028600,2
1.06699100,0.75093400,1
1.11719300,1.11404100,1
0.93209600,0.91721700,1
0.88649200,0.92523300,1
1.14873800,0.91162700,1
0.94246600,1.03624100,1
0.78486100,0.82714300,1
0.82893600,1.11300900,2
0.87302400,1.14020500,2
0.99308300,0.76525600,1
0.77468600,0.88638800,1
1.07703100,0.96071100,1
1.21375800,0.91024700,1
0.83085000,1.00942500,1
1.05376400,0.84825600,1
0.75086000,1.00391000,2
0.86221300,1.02383200,1
0.89920500,0.81619600,1
1.16564000,0.96904000,1
0.85330400,1.23385400,2
1.04925400,0.83887800,1
0.86711300,1.06362200,2
0.89626200,1.05091900,1
1.10004300,1.04344700,1
1.09366400,1.06559400,1
1.18393600,1.18163500,0
0.95367000,0.82058400,1
0.95368300,1.18522500,2
0.91290800,0.94651100,1
0.86284500,0.94878100,1
0.77516100,1.02054200,2
0.94210000,1.14953700,2
0.85765600,0.75954500,1
1.13535700,0.83512900,1
0.88575300,1.21504300,2
0.96606800,0.99611400,1
0.85639300,1.20853600,2
1.24457700,0.98706500,1
0.85677400,0.93759800,1
0.92625300,0.79724400,1
0.98144800,0.89072600,1
0.76971800,1.07465200,2
1.03841500,0.93202900,1
1.12465500,0.97576200,1
1.17277000,1.15562200,0
0.99947900,0.84728300,1
0.86506000,0.86400900,1
1.02057100,0.94603400,1
0.98077500,0.79470300,1
0.99686100,0.86831600,1
1.15723000,1.00504800,1
1.04615700,1.09116500,1
0.81459700,1.12641600,2
1.12300100,1.02439600,1
0.96897100,1.01587000,1
0.81167200,1.23461700,2
0.80706300,1.16592700,2
0.91259100,1.03017000,1
1.15450800,1.08114000,1
1.15547800,0.88944800,1
1.03273700,1.19406600,2
0.81847900,0.77410100,1
0.95299800,0.77249700,1
1.11887300,1.19336700,0
0.94033600,1.16493000,2
0.96800800,0.97607100,1
1.01520400,1.14183600,2
1.05084000,1.06282300,1
0.98587300,1.01658800,1
1.19868800,0.75249700,1
0.92092500,1.17180300,2
1.17279100,1.22431300,0
1.07783100,1.07434900,1
0.76577900,0.80964000,1
0.86101000,0.83544900,1
1.05836700,0.90612600,1
1.07071900,0.86104400,1
1.23934500,1.11082700,0
0.78277600,1.14200200,2
1.10840500,1.09871700,1
1.16831400,0.75376900,1
1.23337900,0.98828800,1
0.92266700,1.17069700,2
1.22611500,0.91692500,1
1.22294200,1.05155600,1
1.23456800,0.79529600,1
0.77497900,1.21964200,2
1.02256600,1.22222300,2
1.04210300,1.14340400,2
0.92327200,0.81933200,1
1.17047300,0.82164500,1
1.00756000,0.78821700,1
0.93878400,1.09115000,2
1.00429600,0.80196900,1
0.76372000,1.00397000,2
0.84595500,0.91759000,1
0.88678600,1.06660400,2
1.19005100,1.03617600,1
0.85299000,0.79398200,1
0.88453900,1.04369400,1
0.76738200,1.20742500,2
1.10364700,1.13675100,0
1.08151300,1.09761400,1
0.77950700,0.97499700,1
0.81865300,1.08118300,2
0.99453400,1.20458100,2
1.19396300,1.20262700,0
1.17964400,1.06558800,1
1.02380400,1.07204900,1
0.78424000,1.23043700,2
1.14695900,0.78360600,1
1.04527500,1.21993300,2
0.79982300,1.12958700,2
1.08480300,1.20900300,0
0.99743900,0.91065400,1
0.80806500,0.76510200,1
0.97277300,0.94408500,1
0.20746600,0.30884500,1
0.36771900,0.43872500,1
0.45175400,0.09865700,1
0.40107600,0.48788200,1
0.05421100,0.31902000,1
0.16108000,0.02955800,1
0.46889200,0.39540900,1
0.48310200,0.23714900,1
0.15971800,0.46803000,1
0.07668700,0.43316900,1
0.02366200,0.03124500,1
0.16039000,0.26356900,1
0.02632500,0.08582800,1
0.34769800,0.03083800,1
0.02586800,0.25723500,1
0.40283700,0.26038400,1
0.26956200,0.45456900,1
0.00136400,0.01656100,1
0.19616200,0.03220800,1
0.03717900,0.44223400,1
0.46683900,0.06882100,1
0.31497300,0.46891400,1
0.07759200,0.29701900,1
0.15509200,0.13327800,1
0.47687300,0.40092900,1
0.01643800,0.44027400,1
0.32354800,0.34869200,1
0.21223700,0.23301900,1
0.37242300,0.14224400,1
0.15338800,0.06537100,1
