x1,x2,cluster
0.96872300,0.85816600,7
1.18163700,0.80684000,0
1.12800100,0.77588300,0
0.79943700,1.09118600,7
1.12479500,0.86305800,0
0.90099100,0.91866300,7
1.16218700,0.95223900,0
0.84105300,0.85726200,7
1.00955400,1.06249900,7
0.87507000,1.11485500,7
1.19171300,0.80313500,0
1.10042700,0.81032800,0
1.16662300,0.80045600,0
0.95511600,0.76715900,7
0.79159700,0.99315600,7
0.96267900,1.13607800,7
0.81595100,0.88049100,7
1.23309500,1.08756400,0
0.96662700,1.06191900,7
1.19067500,1.01460500,0
0.91258300,1.17685000,7
1.10212700,1.15151700,0
1.00359300,1.13881200,7
1.22057500,1.24554700,0
1.17957400,0.85960300,0
1.24466800,0.91456800,0
0.83772000,0.97589400,7
0.81580100,1.08641000,7
1.22638700,0.92327600,0
0.94104100,0.94316000,7
1.10711500,1.05087600,0
1.03452400,1.08725400,0
0.98909700,0.83343700,7
1.21588600,1.20526300,0
1.19405900,1.11717000,0
1.09072200,0.82995000,0
0.85373400,1.23067900,7
0.96510900,0.89156000,7
1.17698100,1.20292900,0
0.81391400,1.10521300,7
0.94908900,0.75647000,7
0.83091000,0.86287800,7
1.24192600,1.18605800,0
1.03762800,1.18561300,0
1.22030900,1.19030100,0
1.21746500,0.94457600,0
1.22736300,1.19712600,0
0.87169100,0.97777000,7
1.01961300,1.21261000,0
0.96484500,0.91359300,7
1.10114700,1.22714900,0
0.93841600,0.96192300,7
1.07546600,1.23290900,0
0.82374100,1.14885300,7
0.79346800,0.94219100,7
0.77776700,0.95209900,7
0.82651300,0.84759000,7
0.99858200,1.04073400,7
0.93462300,0.83172700,7
0.75157500,0.83506100,7
1.23163100,1.11684800,0
1.15162400,0.88030800,0
1.17142000,0.94274100,0
0.90188700,1.07126100,7
0.79241100,0.97518000,7
0.88557800,1.07404600,7
0.86106600,1.07649600,7
0.84352500,0.86597500,7
1.14939600,1.21491800,0
0.84737000,1.15469600,7
1.06634600,0.94993300,0
0.89593700,1.04385200,7
1.23841200,1.10723300,0
1.22060000,1.18404200,0
0.90093700,0.94865400,7
0.78440800,0.78505900,7
1.11831900,0.85008600,0
0.99927600,0.76824200,7
0.89867000,1.22344300,7
0.86571900,1.00622600,7
1.20650100,1.15755800,0
1.06041900,1.03143800,0
1.20558700,1.00727700,0
0.95833100,0.79441700,7
0.78343400,0.93002400,7
1.17809300,1.01836700,0
1.01860100,1.15477300,0
0.98216700,0.92729200,7
0.75265300,1.06962100,7
1.24645800,1.12165200,0
0.81960100,1.03104400,7
1.23806900,1.13770200,0
0.76745200,1.13046700,7
1.10440800,0.75448200,0
1.07883000,1.00188500,0
0.78202400,0.90589400,7
0.96064000,1.11807200,7
0.97939000,1.11439700,7
1.22634700,0.90228400,0
0.97421100,1.18753500,7
1.13867900,0.87741300,0
1.19296300,1.00886100,0
0.81543100,0.98516400,7
0.90797100,1.11077000,7
0.92654400,1.13410500,7
0.89569200,0.83834200,7
0.92672400,0.97735300,7
1.04876500,0.80049700,7
0.97462100,0.87814200,7
1.22394200,0.95759600,0
0.98696200,0.99470600,7
1.03820300,1.11308300,0
0.96397400,0.90464200,7
0.89615500,0.76085300,7
0.80111700,1.19333900,7
1.24321800,1.18970600,0
0.77131100,0.95106400,7
0.89119700,0.96162500,7
1.22177000,1.15894100,0
0.75546800,0.86153800,7
0.77998200,0.99534300,7
0.97633600,1.16281400,7
1.00455500,1.16109400,0
1.17104300,1.06496700,0
0.94832100,0.90439700,7
0.97744100,0.93784600,7
1.02349800,1.02457700,7
1.10555000,1.05006700,0
0.87168500,1.24745500,7
0.80897900,0.76852400,7
1.14507100,0.99459400,0
1.02466400,0.79050500,7
1.19949000,1.21367300,0
0.90638300,0.81029900,7
1.18480200,1.09787700,0
1.09521200,1.12810700,0
0.89359400,1.19847300,7
0.82837500,1.08067500,7
0.99526300,1.12663200,7
0.88687400,0.81027000,7
0.93934700,1.24807200,7
0.92182000,0.79143400,7
0.85925900,0.99726000,7
0.87958600,1.20343700,7
1.24563400,1.17664500,0
1.06668500,1.17040400,0
0.98706000,0.86083000,7
